315  [main] DEBUG o.s.b.d.settings.DevToolsSettings - Included patterns for restart : []
677  [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
692  [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
694  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Resolved classpath location [com/wilson/feelings/] to resources [URL [file:/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/]]
694  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Looking for matching resources in directory tree [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings]
694  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
695  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/DTO] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
696  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/Service] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
697  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/annotations] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
697  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/aspect] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
697  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/config] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
697  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/entities] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
698  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/entities/exception] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
698  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/filters] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
698  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/repositories] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
698  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/restEndPoints] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
699  [restartedMain] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/restEndPoints/exception] for files matching pattern [/home/origin/development/workSpaces/eclipse_workspace/feelings/target/classes/com/wilson/feelings/**/*.class]
